Subject,Predicate,Object
pole-reinforced mud exterior wall,has part,pole
brick exterior wall,has part,brick
brick exterior wall,composed primarily of,brick material
burnt-brick exterior wall,has part,burnt brick
unburnt-brick exterior wall,has part,unburnt brick
salt dome,has quality,domed
concrete exterior wall,has part,concrete masonry unit
concrete exterior wall,composed primarily of,concrete
iron sheet,composed primarily of,iron atom
salt material,composed primarily of,salt
sheet-iron exterior wall,has part,iron sheet
sheet-iron building roof,has part,iron sheet
thatched building roof,composed primarily of,thatch
tiled building roof,has part,tile
pit latrine,has part,latrine pit
latrine slab,has quality,fenestrated
latrine pit,output of,human-directed construction process
pit latrine with slab floor,has part,latrine slab
rock intrusion,formed as result of,rock-precursor intrusion process
rock intrusion,composed primarily of,rock
sedimentary intrusion,composed primarily of,sedimentary rock
covered pit latrine,has part,pit latrine
covered pit latrine with slab floor,has part,latrine slab
factory,has part,industrial building
atmospheric ozone,part of,atmosphere
atmospheric ozone,composed primarily of,ozone
ozone layer,part of,stratosphere
ozone layer,has increased levels of,ozone
atmospheric layer,part of,atmosphere
atmospheric layer,composed primarily of,gaseous environmental material
boundary layer,adjacent to,surface layer
ionosphere,has part,thermosphere
exosphere,adjacent to,thermosphere
glaze ice layer,formed as result of,freezing rainfall
eutrophic lake,composed primarily of,eutrophic water
paraffin oil,composed primarily of,alkane
natural gas,has role,fossil fuel
natural gas,composed primarily of,methane
compressed natural gas,has quality,increased pressure
biogas,has part,methane
biogas,has part,carbon dioxide
liquefied hydrocarbon gas,has quality,condensed
liquefied hydrocarbon gas,has quality,increased pressure
compressed biogas,has quality,increased pressure
charcoal,output of,pyrolysis
lantern,has part,lamp
paraffin lantern,has part,paraffin lamp
candle,composed primarily of,wax
apiary,has part,anthropogenic bee hive structure
freshwater spring,adjacent to,fresh water
freshwater spring,composed primarily of,fresh water
river water,part of,river
rainwater,output of,hydrological precipitation process
motor vehicle,has part,motor
hydrological condensation process,has input,atmospheric water vapour
hydrological condensation process,has output,liquid water
plant litter,has part,leaf
plant litter,has quality,dead
climate change,has input,climate system
ecosystem-wide aerobic respiration,has part,aerobic respiration
volcanic eruption,has participant,volcano
volcanic eruption,has participant,planetary crust
volcanic eruption,has input,magma
volcanic eruption,has output,hydrogen sulfide
volcanic eruption,has output,carbon dioxide
volcanic eruption,has output,carbon monoxide
volcanic eruption,has output,hydrogen chloride
volcanic eruption,has output,dihydrogen
volcanic eruption,has output,sulfur dioxide
volcanic eruption,has output,water vapour
planetary crust,has quality,quality of a solid
planetary structural layer,part of,planet
planetary mantle,adjacent to,planetary crust
lithosphere,has part,planetary crust
lithosphere,has quality,inflexible
asthenosphere,has quality,viscous
asthenosphere,has quality,decreased strength
asthenosphere,adjacent to,lithosphere
magma,has quality,increased temperature
magma,located in,planetary structural layer
stream channel,location of,stream
river channel,location of,river
slum,part of,city
slum,part of,urban biome
effusive eruption,has part,lava flow process
effusive eruption,has output,lava
igneous intrusion process,has input,magma
igneous intrusion process,has output,igneous intrusion
igneous intrusion,has part,mineral material
igneous intrusion,composed primarily of,igneous rock
tephra,has quality,broken
tephra,output of,explosive eruption
tuff,output of,volcanic eruption
scoria,output of,volcanic eruption
pumice,output of,volcanic eruption
tuff cone,derives from,ash cone
tuff cone,composed primarily of,tuff
area of open water,part of,water body
area of open water,part of,planetary surface
area of open water,adjacent to,atmospheric boundary layer
active geological fault,participates in,tectonic movement
vein,location of,mineral material
microfracture,has quality,decreased size
atmospheric column,part of,atmosphere
atmospheric column,has quality,columnar
atmospheric column,adjacent to,planetary surface
atmospheric column,adjacent to,outer space
tectonic earthquake,has part,structural collapse process
tectonic earthquake,has participant,active geological fault
tectonic earthquake,causally downstream of or within,tectonic movement
megathrust earthquake,has participant,convergent plate boundary
polluted lake,composed primarily of,contaminated water
sodium chloride salt,composed primarily of,sodium chloride
glacial abrasion,has participant,rock
glacial plucking,has participant,rock
glacial ice thrusting,has participant,sediment
water mass,composed primarily of,liquid water
coast,overlaps,planetary landmass
lake coast,overlaps,lake
mass wasting,has part,material accumulation process
mass wasting,has part,material decumulation process
mass wasting,has participant,slope
debris flow,has participant,valley
debris flow,has participant,rock
debris flow,has participant,soil
debris flow,has participant,stream channel
volcanic ash,output of,volcanic eruption
volcanic ash,composed primarily of,silicon dioxide
ash fall process,has participant,planetary surface
ash fall process,has participant,tephra
ash fall process,has participant,volcanic ash
hydrological evaporation,has input,liquid water
soil erosion,has participant,soil
coastal flooding,has participant,coast
flash flooding,has participant,depressed landform
flood,formed as result of,flooding
coastal flood,overlaps,coast
coastal flood,formed as result of,coastal flooding
riverine flood,continuous with,river
riverine flood,formed as result of,riverine flooding
flash flood,formed as result of,flash flooding
storm surge,formed as result of,storm surge process
snowmelt,has input,snow
snowmelt,has output,fresh water
hydrological melting process,part of,thawing process
icemelt,has input,water ice
icemelt,has output,fresh water
meltwater,formed as result of,hydrological melting process
atmospheric subsidence,has part,katabatic wind
lava flow process,has participant,lava
lava flow process,has participant,planetary landmass
igneous extrusion,composed primarily of,igneous rock
rock-precursor intrusion process,has participant,rock
habitat,part of,biosphere
habitat,determined by,population of organisms
land consumption process,has participant,planetary landmass
area of perennial snow,part of,area of perennial ice or snow
area of perennial ice or snow,adjacent to,atmospheric boundary layer
regolith,has part,dust
regolith,adjacent to,planetary crust
continental crust,part of,planetary crust
oceanic crust,part of,planetary crust
area of barren land,adjacent to,atmospheric boundary layer
fumarole-derived ice tower,adjacent to,ice cave
fumarole-derived ice tower,composed primarily of,water ice
aeroform,located in,atmosphere
rural settlement,part of,rural area
carbon dioxide emission process,causally upstream of or within,greenhouse effect
carbon dioxide emission,output of,carbon dioxide emission process
rural area,overlaps,vegetated area
oligotrophic lake,composed primarily of,oligotrophic water
mesotrophic lake,composed primarily of,mesotrophic water
piece of plastic,composed primarily of,synthetic plastic
key biodiversity area,overlaps,ecosystem
public infrastructure,participates in,usage of an environment for infrastructure and utilities
public road,part of,public infrastructure
public building,part of,public infrastructure
utility line,part of,public infrastructure
utility line,participates in,usage of an environment for infrastructure and utilities
material extraction process,has part,material transport process
material extraction process,has participant,environmental material
wildfire,occurs in,terrestrial biome
wildfire,has output,hydrocarbon flame
flame,has quality,increased temperature
forest fire,occurs in,forested area
forest fire,has participant,forest
mass gaseous flow,has participant,gaseous environmental material
stellar wind,has part,stellar radiation
stellar wind,has participant,star
mass plasma flow,has participant,plasma
gaseous environmental material,has quality,quality of a gas
star,composed primarily of,plasma
astronomical object,has part,astronomical body
astronomical object,has quality,geodiversity
astronomical object,surrounded by,outer space
planetary atmosphere,partially_surrounded_by,planetary surface
desert pavement,part of,desert
desert pavement,composed primarily of,rock
astronomical body part,part of,astronomical body
solid environmental material,has quality,quality of a solid
liquid environmental material,has quality,quality of a liquid
area of deciduous forest,adjacent to,atmospheric boundary layer
biosphere,has part,collection of organisms
hydrosphere,composed primarily of,liquid water
pedosphere,overlaps,atmosphere
pedosphere,overlaps,lithosphere
pedosphere,overlaps,biosphere
pedosphere,overlaps,hydrosphere
pedosphere,composed primarily of,soil
photosphere,part of,star
planetary photic zone,part of,planet
illuminated biosphere part,part of,biosphere
humid air,has increased levels of,water vapour
humid air,has quality,increased humidity
water-based rainfall,has participant,water vapour saturated air
water-based rainfall,has participant,raindrop
raindrop,formed as result of,condensation process
water droplet,composed primarily of,liquid water
virga,has part,sublimation process
smoke,formed as result of,combustion process
combustion process,has output,smoke
pyrolysis,has participant,organic material
pyrolysis,has output,smoke
smog,has role,environmental contaminant
area of evergreen forest,adjacent to,atmospheric boundary layer
fog,located in,atmosphere
fog,output of,condensation process
fog,composed primarily of,liquid water
crystal,has quality,structured
water ice crystal,composed primarily of,water ice
hair ice,located in,broadleaf forest biome
flower-rich field margin strip,adjacent to,agricultural field
coral bleaching process,has participant,coral reef
marl,has part,clay
marl,has part,silt
marl,composed primarily of,calcium carbonate
area of mixed forest,overlaps,mixed forest
area of mixed forest,adjacent to,atmospheric boundary layer
area of dwarf scrub,part of,scrubland area
area of dwarf scrub,adjacent to,atmospheric boundary layer
photovoltaic system,has part,solar panel array
domestic solar panel array,part of,human dwelling
area of scrub,part of,scrubland area
area of scrub,adjacent to,atmospheric boundary layer
ground deformation process,has input,planetary landmass
ballast water,located in,ballast tank
hailfall,has participant,hail stone
thunderstorm,has part,atmospheric lightning
icestorm,has part,freezing rainfall
icestorm,has output,glaze ice layer
area of developed open space,part of,dense settlement biome
area of developed open space,adjacent to,atmospheric boundary layer
area of sedge- and forb-dominated herbaceous vegetation,adjacent to,atmospheric boundary layer
area of gramanoid or herbaceous vegetation,adjacent to,atmospheric boundary layer
area of lichen-dominated vegetation,part of,tundra biome
area of lichen-dominated vegetation,adjacent to,atmospheric boundary layer
area of moss-dominated vegetation,adjacent to,atmospheric boundary layer
area of pastureland or hayfields,part of,ranch
area of cropland,part of,cropland ecosystem
area of cropland,adjacent to,atmospheric boundary layer
area of woody wetland,has part,wetland area
area of woody wetland,adjacent to,atmospheric boundary layer
area of emergent herbaceous wetland,part of,wetland ecosystem
area of emergent herbaceous wetland,adjacent to,atmospheric boundary layer
snowfall,has participant,snow
atmospheric lightning,has participant,cloud
atmospheric lightning,has output,plasma
blizzard,has part,aeolian transport of snow
shrimp pond,contains process,crustacean farming process
aquaculture process,occurs in,water body
soil biocrust,part of,soil surface layer
cloud condensation nucleus,part of,aerosol
cloud condensation nucleus,participates in,nucleation of cloud condensation
nucleation of cloud condensation,has participant,water vapour
nucleation of cloud condensation,causally upstream of or within,condensation process
nucleation of cloud condensation,causally upstream of or within,cloud formation process
ice loss process,has input,ice mass
ice calving process,has participant,ice mass
glacial ice ablation process,occurs in,ice ablation zone
water ice sublimation process,has input,water ice
water ice sublimation process,has output,water vapour
fissure water,partially_surrounded_by,geological fracture
planetary subsurface zone,overlaps,planetary structural layer
planetary subsurface zone,adjacent to,planetary surface
continental subsurface zone,overlaps,continental crust
continental subsurface zone,adjacent to,planetary landmass
ecotone,overlaps,biome
water ice formation process,has output,water ice
anthropisation,has input,natural environment
anthropisation,has output,anthropogenic environment
alpine tree line ecotone,part of,elevated landform
desert tree line ecotone,overlaps,desert biome
desert-alpine tree line ecotone,overlaps,alpine tree line ecotone
diatomite,has part,aluminium oxide
diatomite,has part,iron oxide
diatomite,has part,diatomaceous earth
diatomite particle,composed primarily of,diatomite
mass liquid flow,has participant,liquid environmental material
water flow process,has participant,liquid water
technosphere,overlaps,biosphere
technosphere,composed primarily of,human construction
technosphere,composed primarily of,manufactured product
market,participates in,usage of an environment for business
manufacturing process,has part,anthropisation
manufacturing process,has output,manufactured product
planetary manufacturing process,occurs in,planet
planetary manufacturing process,has end location,technosphere
dry river,located in,dry river valley
human-directed construction process,has part,anthropisation
human-directed construction process,has part,material transport process
human-directed construction process,has part,material transformation process
human-directed construction process,has output,human construction
environmental system determined by a material,determined by,environmental material
rhizosphere environment,overlaps,rhizosphere
rhizosphere environment,overlaps,plant-associated environment
environmental system determined by an organism,determined by,cellular organisms
plant-associated environment,determined by,viridiplantae
animal-associated environment,determined by,metazoa
groundwater,located in,aquifer
rainbow,overlaps,water droplet
meteor,located in,atmosphere
light emitted by lightning,formed as result of,atmospheric lightning
lithometeor,derives from,meteoroid
hypereutrophic lake,composed primarily of,hypereutrophic water
hypersaline lake,composed primarily of,hypersaline water
radiation,has participant,subatomic particle
radiation,has participant,environmental material
sediment permeated by freshwater,surrounded by,fresh water
fecal environment,determined by,fecal material
environment determined by a metazoan secretion,determined by,secretion of exocrine gland
environment determined by a plant substance,determined by,portion of plant substance
digestive tract environment,determined by,digestive tract
sediment permeated by saline water,surrounded by,saline water
fungi-associated environment,determined by,fungal structure
fungi-associated environment,determined by,fungi
sterile water environment,composed primarily of,sterile water
sterile water environment,determined by,sterile water
hypersaline water environment,determined by,hypersaline water
soil environment,determined by,soil
oceanic subsurface zone,overlaps,continental crust
oceanic subsurface zone,adjacent to,planetary landmass
planetary subsurface environment,overlaps,planetary subsurface zone
sediment environment,determined by,sediment
non-saline sediment environment,determined by,sediment permeated by freshwater
saline sediment environment,determined by,sediment permeated by saline water
aerosol environment,determined by,aerosol
environment associated with a fungal tissue,determined by,fungal structure
caldera lake,located in,caldera
crater lake,located in,crater
meteorite lake,located in,meteor impact crater
impact between astronomical bodies,has participant,astronomical body
meteoroid,has quality,decreased size
metallic material,has quality,opaque
metallic material,has role,electron donor
metallic material,composed primarily of,metal atom
impact crater lake,located in,impact crater
impact crater,formed as result of,impact between astronomical bodies
anoxic lake,composed primarily of,anoxic water
hypoxic lake,composed primarily of,hypoxic water
oxic lake,composed primarily of,oxic water
atmospheric weather,characteristic of,atmosphere
space weather,characteristic of,outer space
cloud formation process,has part,condensation process
cloud formation process,has participant,water vapour
cloud formation process,has output,cloud
cloud formation process,causally downstream of or within,nucleation of cloud condensation
particulate matter formation process,has output,particulate environmental material
formation of a solid aerosol in an atmosphere,has output,aerosolised solids
formation of a liquid aerosol in an atmosphere,has output,aerosolised liquids
aerosolised liquids,surrounded by,air
aerosolised solids,surrounded by,air
formation of a solid aerosol from gaseous material in an atmosphere,has input,gaseous environmental material
formation of a liquid aerosol from gaseous material in an atmosphere,has input,gaseous environmental material
tectonic movement,has participant,tectonic plate
convergent tectonic movement,has part that occurs in,convergent plate boundary
divergent tectonic movement,has part that occurs in,divergent plate boundary
transform tectonic movement,has part that occurs in,transform plate boundary
tectonic plate,part of,lithosphere
tectonic plate,has quality,platelike
tectonic plate,overlaps,tectonic plate boundary
tectonic plate boundary,has quality,linear
tectonic plate boundary,overlaps,tectonic plate
tectonic plate boundary,formed as result of,tectonic movement
divergent plate boundary,contains process,divergent tectonic movement
convergent plate boundary,contains process,tectonic plate subduction
transform plate boundary,contains process,transform tectonic movement
detritus,has quality,granular
rift zone,contains process,divergent tectonic movement
aeolian lake,formed as result of,aeolian transport process
landslide lake,adjacent to,landslide
landslide lake,formed as result of,landslide process
rockslide lake,adjacent to,rockfall
rockslide lake,formed as result of,rockslide process
fossil worm burrow,formed as result of,fossilization of organic material
fossilization of organic material,has input,organic material
fossilization of organic material,has output,mineral material
forage material,composed primarily of,plant matter
animal manure product,composed primarily of,animal manure
plant matter,composed primarily of,plant anatomical entity
gas planet,composed primarily of,astrogeological gas
ice giant,composed primarily of,astrogeological ice
carbon dioxide ice,composed primarily of,carbon dioxide
methane ice,composed primarily of,methane
ammonia ice,composed primarily of,ammonia
carbon monoxide ice,composed primarily of,carbon monoxide
chthonian planet,derives from,giant gas planet
photoevaporation,has part,electromagnetic radiation
photoevaporation,has participant,gaseous environmental material
proplyd,participates in,photoevaporation
atmospheric escape,has part,electromagnetic radiation
atmospheric escape,has participant,gaseous environmental material
cirrus cloud,part of,high atmospheric level
cirrus cloud,has quality,filamentous
iucn natural monument or feature,overlaps,natural monument
ecosystem fragment,formed as result of,ecosystem fragmentation process
ecosystem fragmentation process,has input,ecosystem
ecosystem fragmentation process,results in formation of anatomical entity,ecosystem fragment
ecosystem fragmentation process,causally upstream of or within,ecosystem decay
active ecosystem management process,has participant,ecosystem
ecosystem decay,has participant,habitat
ecosystem decay,has participant,ecosystem fragment
ecosystem decay,has participant,ecological community
ecosystem decay,causally downstream of or within,ecosystem fragmentation process
arable land,has quality,arable
rhizoplane,located in,rhizosphere
rhizoplane,composed primarily of,plant matter
acidic soil,has quality,acidic
acidic volcanic ash,has quality,acidic
holothurian digestive tract,part of,holothuroidea
holothurian digestive tract contents,located in,holothurian digestive tract
brown sea ice,has quality,brown
water surface,part of,liquid water
sediment surface,part of,sediment
magnetosphere,has disposition,cosmic ray shielding disposition
magnetosphere,location of,astronomical body
magnetosphere,overlaps,outer space
terrestrial environmental zone,part of,terrestrial biome
terrestrial environmental zone,part of,planetary landmass
anthropised terrestrial environmental zone,part of,anthropogenic terrestrial biome
marine environmental zone,part of,marine environment
alluvium,has quality,porous
alluvium,has quality,granular
alluvial deposit,formed as result of,lithification
lithification,has input,sediment
lithification,results in formation of anatomical entity,sedimentary rock
ranch,part of,rangeland biome
swamp area,overlaps,swamp ecosystem
defence against flooding,negatively regulates,flooding
stellar radiation,process has causal agent,star
water accumulation process,has participant,liquid water
water accumulation process,has output,water body
office building,has part,toilet fixture
office building,has part,office
commercial building,participates in,usage of an environment for business
terrestrial natural environment,part of,planetary landmass
aquatic natural environment,part of,water body
hill sphere,location of,astronomical body
lagrangian point,overlaps,hill sphere
kerogen,partially_surrounded_by,sedimentary rock
labile kerogen,derives into,petroleum
recalcitrant kerogen,derives into,hydrocarbon gas
planktonic kerogen,has increased levels of,sulfur molecular entity
planktonic kerogen,derives from,planktonic material
humic kerogen,derives from,viridiplantae
residual kerogen,composed primarily of,polycyclic hydrocarbon
forest canopy,part of,forest
woodland canopy,part of,woodland ecosystem
crop canopy,part of,cropland ecosystem
forest,has part,forest canopy
cropland ecosystem,participates in,agriculture
woodland ecosystem,has part,understory
woodland ecosystem,has part,woodland canopy
agricultural process,occurs in,planetary landmass
agronomic process,has participant,viridiplantae
animal husbandry,has participant,metazoa
animal aquaculture process,has participant,metazoa
plant aquaculture process,has participant,viridiplantae
coastal shrimp pond,part of,coastal water body
saline shrimp pond water,part of,shrimp pond
saline shrimp pond water,participates in,crustacean farming process
saline shrimp pond water,derives from,ocean water
transport of waste to a designated storage site,has participant,area designated for waste storage
waste disposal process,has part,material transport process
waste disposal process,has participant,waste material
transport of household waste to a designated storage site,has participant,household waste material
transport of household waste to a designated storage site,has participant,human house
thermal pollution of an aquatic system,occurs in,water body
thermal pollution of an aquatic system,occurs in,aquatic environment
urban stormwater,located in,urban biome
urban stormwater,located in,area of developed space
area of developed space,part of,urban biome
area of developed space,adjacent to,atmospheric boundary layer
rural stormwater,located in,rural area
impermeable surface layer,has quality,impermeable
constructed pavement,has quality,laminar
liquid layer,composed primarily of,liquid environmental material
solid layer,composed primarily of,solid environmental material
water ice layer,composed primarily of,water ice
asphalt road,composed primarily of,asphalt
concrete road,composed primarily of,concrete
silica dust,composed primarily of,silicon dioxide
aluminium dust,composed primarily of,elemental aluminium
talc dust,composed primarily of,talc
slate dust,derives from,slate
industrial fire,occurs in,industrial building
kaolin dust,composed primarily of,kaolin
bush fire,occurs in,bush area
land fire,occurs in,planetary landmass
convective storm,has participant,air mass
cyclone,causally downstream of or within,cyclonic circulation
atmospheric zone,part of,atmosphere
aquatic estuarine layer,part of,estuary
aquatic estuarine layer,composed primarily of,estuarine water
estuarine coastal surface layer,adjacent to,shoreline
oasis,overlaps,spring
bone element environment,determined by,bone element
hydroform,part of,water body
hydroform,contains process,water flow process
hydroform,composed primarily of,liquid water
liquid air-water interface layer,adjacent to,air
estuarine coastal upper water column,has part,estuarine coastal surface layer
estuarine coastal upper water column,adjacent to,shoreline
estuarine coastal upper water column,adjacent to,estuarine coastal pycnocline
estuarine coastal pycnocline,adjacent to,shoreline
estuarine coastal pycnocline,adjacent to,estuarine coastal upper water column
estuarine coastal pycnocline,adjacent to,estuarine coastal lower water column
estuarine coastal lower water column,adjacent to,shoreline
estuarine coastal lower water column,adjacent to,estuarine coastal pycnocline
estuarine open water upper water column,has part,estuarine open water surface layer
estuarine open water upper water column,adjacent to,estuarine open water pycnocline
estuarine tidal riverine coastal surface layer,composed primarily of,fresh water
estuarine tidal riverine coastal upper water column,has part,estuarine tidal riverine coastal surface layer
estuarine tidal riverine coastal upper water column,composed primarily of,fresh water
saline water body,composed primarily of,saline water
fresh water body,composed primarily of,fresh water
brackish water body,composed primarily of,brackish water
estuarine open water lower water column,adjacent to,estuarine open water pycnocline
estuarine open water pycnocline,adjacent to,estuarine open water upper water column
estuarine open water pycnocline,adjacent to,estuarine open water lower water column
estuarine tidal riverine coastal pycnocline,composed primarily of,fresh water
estuarine tidal riverine coastal lower water column,composed primarily of,fresh water
estuarine tidal riverine open water surface layer,composed primarily of,fresh water
estuarine tidal riverine open water upper water column,has part,estuarine tidal riverine open water surface layer
estuarine tidal riverine open water upper water column,composed primarily of,fresh water
estuarine tidal riverine open water pycnocline,composed primarily of,fresh water
estuarine tidal riverine open water lower water column,adjacent to,estuarine open water pycnocline
nitrogen cycling,has input,nitrogen atom
sulfur cycling,has input,sulfur atom
phosphorous cycling,has input,phosphorus atom
advective transport process,has part,convective transport process
advective transport process,has part,material diffusion process
advective transport process,has characteristic,advective
anchor ice,partially_surrounded_by,liquid water
anchor ice,attached to,submerged bed
marine tidal flow,contains process,marine tidal flow process
riverine anchor ice,partially_surrounded_by,river water
riverine anchor ice,adjacent to,river bed
diurnal marine tidal flow zone,contains process,diurnal marine tidal flow process
diurnal marine tidal flow process,occurs in,diurnal marine tidal flow zone
diurnal marine tidal flow process,has quality,discontinuous
semi-diurnal marine tidal flow zone,contains process,semi-diurnal marine tidal flow process
marine tidal flow zone,part of,ocean
marine tidal flow zone,contains process,marine tidal flow process
marine tidal flow zone,overlaps,sea coast
semi-diurnal marine tidal flow process,occurs in,semi-diurnal marine tidal flow zone
semi-diurnal marine tidal flow process,has quality,discontinuous
freshwater seep riverine anchor ice,adjacent to,river mouth
floating ice mass,partially_surrounded_by,water body
floating ice mass,partially_surrounded_by,atmosphere
floating ice mass,has quality,buoyancy
erosion,has participant,environmental material
erosion,has participant,planetary crust
glacial equlibrium line,contains process,glacial ice ablation process
glacial equlibrium line,contains process,glacial ice gain
glacial equlibrium line,has quality,linear
glacial equlibrium line,adjacent to,glacial ice accumulation zone
glacial equlibrium line,adjacent to,glacial ice ablation zone
material accumulation zone,contains process,material accumulation process
material decumulation zone,contains process,material decumulation process
ice accumulation zone,contains process,ice gain
ice accumulation zone,overlaps,ice mass
ice decumulation zone,contains process,ice loss process
glacial ice accumulation zone,contains process,glacial ice gain
glacial ice accumulation zone,overlaps,glacier
environmental zone of processual equilibrium,contains process,environmental system process
volcanic crater glacier,located in,volcanic crater zone
crater zone,partially_surrounded_by,crater
volcanic crater zone,partially_surrounded_by,volcanic crater
desert,overlaps,desert area
hydroclimate,realized in,hydrological process
atmospheric wind direction,characteristic of,atmospheric wind
aerosolised particle formation process,part of,aerosol formation process
aerosolised particle formation process,has input,gaseous environmental material
primary aerosol formation process,has output,aerosol
tidal mangrove shrubland,has part,mangrove biome
tidal mangrove shrubland,contains process,tidal flow process
tundra ecosystem,has quality,tundra climatic condition
tundra ecosystem,overlaps,area of tundra
alpine tundra ecosystem,overlaps,area of alpine tundra
aerosolised particle formation event,has quality,increased rate
sea ice variability,characteristic of,sea ice
sea surface height,characteristic of,sea surface layer
mussel bed,has part,sediment surface
area of attached mussel assemblages,part of,marine benthic biome
mussel reef,part of,continental shelf
mussel reef,part of,marine neritic benthic zone biome
neritic mussel bed,part of,marine neritic benthic zone biome
accumulation of matter on aerosolised particles,has participant,aerosol
abyssal clay,part of,abyssal plain
aerosolisation of dust,has input,dust
homomutatus cloud,derives from,cirrus homogenitus cloud
haze formation process,has part,primary aerosol formation process
haze formation process,has part,secondary aerosol formation process
haze formation process,has output,haze
haze formation event,has quality,increased rate
ecological province,has part,ecoregion
laboratory facility,has part,laboratory environment
cirrocumulus cloud,part of,high atmospheric level
cirrostratus cloud,part of,high atmospheric level
altocumulus cloud,part of,middle atmospheric level
altocumulus cloud,has quality,laminar
altocumulus cloud,composed primarily of,liquid water
altostratus cloud,part of,middle atmospheric level
altostratus cloud,has quality,laminar
nimbostratus cloud,part of,middle atmospheric level
nimbostratus cloud,has quality,laminar
stratocumulus cloud,part of,low atmospheric level
stratocumulus cloud,composed primarily of,liquid water
stratus cloud,part of,low atmospheric level
stratus cloud,composed primarily of,liquid water
cumulus cloud,part of,low atmospheric level
cumulus cloud,has quality,domed
cumulus cloud,composed primarily of,liquid water
homogenitus cloud,formed as result of,anthropogenic environmental process
cumulonimbus cloud,has quality,increased size
cumulonimbus cloud,has quality,increased mass density
sea bed mining,has participant,sea floor
water-based cloud,has part,water droplet
land conversion process,has participant,terrestrial biome
planned environmental usage process,has part,anthropisation
planned environmental usage process,has part,active ecosystem management process
mining,has part,material extraction process
mining,has part,ecosystem fragmentation process
coal mining,has participant,coal mine
coal mining,has participant,coal
coal mining,has output,coal mine waste material
usage of an environment for transportation,has part,material transport process
usage of an environment for transportation,has participant,transport feature
usage of an environment for infrastructure and utilities,has part,material transport process
usage of an environment for infrastructure and utilities,has participant,transport feature
usage of an environment for residential activity,has participant,human dwelling
usage of an environment for industry,has participant,industrial building
usage of an environment for industry,has output,industrial waste material
mist,located in,atmosphere
mist,output of,condensation process
mist,composed primarily of,liquid water
intertidal ecosystem,part of,shore
observing system,has part,human construction
observing system,has part,manufactured product
liquid astronomical body part,composed primarily of,liquid environmental material
gaseous astronomical body part,composed primarily of,gaseous environmental material
fluid astronomical body part,composed primarily of,fluid environmental material
domestic building,participates in,usage of an environment for residential activity
tornado,has quality,columnar
tornado,adjacent to,planetary surface
tornado,composed primarily of,air
fire whirl,has quality,columnar
fire whirl,formed as result of,fire
spur,composed primarily of,rock
intrusion,has quality,protruding into
flattened elevation,has quality,flattened
satellite imaging,has output,image
satellite imaging of a planet,has participant,planet
dioxygen dissolved in marine water,part of,ocean water
dioxygen dissolved in marine water,has quality,dissolved
carbonate system of ocean water,has part,atmosphere
carbonate system of ocean water,participates in,ocean acidification
carbonate system of ocean water,participates in,carbon cycling
thermokarst formation process,has part,material transport process
thermokarst formation process,has part,ice-bearing permafrost thawing process
thermokarst formation process,results in formation of anatomical entity,thermokarst
active agri-ecosystem management process,has part,agricultural process
anthropogenic light pollution,has part,visible spectrum radiation from a manufactured product
radiation from a manufactured product,process has causal agent,manufactured product
glacial surface layer,part of,glacier
glacial surface layer velocity,characteristic of,glacial surface layer
ice calf,output of,ice calving process
anchored ice calf,attached to,submerged bed
anchored ice calf,composed primarily of,anchor ice
terrestrial ice calf,adjacent to,planetary landmass
freshwater ice,composed primarily of,fresh water
congelation sea ice,part of,sea ice
permafrost congelation ice,part of,permafrost
area of pack ice,part of,water body
area of sea ice,part of,water body
area of sea ice,has part,sea ice
area of drift ice,part of,water body
frazil,partially_surrounded_by,liquid water
frazil,has quality,decreased size
frazil,derives from,fresh water
frozen land,has quality,frozen
hard-frozen soil,has part,water ice
hard-frozen soil,has quality,hard
frozen soil,part of,frozen land
frozen soil,has quality,frozen
plastic-frozen soil,has part,liquid water
friable-frozen soil,has part,water ice
friable-frozen soil,has quality,hard
glacier snout,part of,glacier
glacier snout,has quality,decreased elevation
sea ice field,composed primarily of,sea ice
mass ice flow,has participant,ice mass
floeberg,has part,sea ice hummock
sea ice mass,composed primarily of,sea ice
sea ice hummock,composed primarily of,sea ice
branched valley glacier,has part,tributary glacier
branched valley glacier,has quality,branched
tributary glacier,partially_surrounded_by,valley
tributary glacier,adjacent to,valley
ice surface layer,composed primarily of,ice
two-dimensional fiat ice surface,overlaps,ice surface layer
two-dimensional fiat water ice surface,overlaps,water ice surface layer
freezing of water into water ice,has input,liquid water
freezing of water into water ice,has output,water ice
ice lead,adjacent to,ice mass
flaw lead,adjacent to,fast ice
flaw lead,adjacent to,pack ice mass
shore lead,adjacent to,shore
shore lead,adjacent to,pack ice mass
cryopeg,part of,permafrost
gel,has part,solid environmental material
gel,has part,liquid environmental material
hydrogel,composed primarily of,water
quicksand,has quality,porous
quicksand,has quality,unstructured
rain,participates in,precipitation process
rain,has member,raindrop
water-based rain,participates in,water-based rainfall
water-based rain,has member,water raindrop
frost heave,formed as result of,frost heaving process
terrestrial ecoregion,adjacent to,planetary landmass
speed of a water current,characteristic of,water current
kerosene oil,derives from,petroleum
cryospheric layer,part of,cryosphere
ice-bearing permafrost,has part,water ice
material cooling process,part of,material congelation process
bare soil,adjacent to,troposphere
snow accumulation process,has participant,surface layer
snow accumulation process,has participant,snow
snow accumulation process,results in formation of anatomical entity,snow mass
snow and ice accumulation process,has part,ice accumulation process
